Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Safety_Stock,Reorder_Point,Target_Stock_Level,Inventory_Coverage,Service_Level_Achievement,Inventory_Risk
1152,2221537231,171.0,2.55,2.97,1.17,47,0.3,Fast Moving,4.9005,7.4505,10.000499999999999,3.9217647058823526,100.0,Medium Risk
1152,2221537993,1413.0,21.09,21.94,1.04,64,0.04,Fast Moving,36.201,57.291,78.381,3.716500711237553,100.0,Medium Risk
1152,2221539393,12.0,0.18,0.49,2.72,9,0.87,Slow Moving,0.8085,0.9884999999999999,1.1684999999999999,6.491666666666666,100.0,High Risk
1152,2221539395,36.0,0.54,1.62,3.02,9,0.87,Slow Moving,2.673,3.213,3.753,6.95,100.0,High Risk
1152,2221542204,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221586989,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221594136,458.0,6.84,11.04,1.61,42,0.37,Fast Moving,18.215999999999998,25.055999999999997,31.895999999999997,4.663157894736842,100.0,Medium Risk
1152,2221594138,524.0,7.82,11.76,1.5,44,0.34,Fast Moving,19.404,27.224,35.044,4.481329923273656,100.0,Medium Risk
1152,2221594140,1567.0,23.39,20.1,0.86,63,0.06,Fast Moving,33.165,56.555,79.945,3.4179136383069686,100.0,Low Risk
1152,2221596605,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221600674,10.0,0.15,1.21,8.12,1,0.99,Intermittent,1.9965,2.1465,2.2965,15.31,100.0,High Risk
1152,2221623865,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221623869,19.0,0.28,1.02,3.59,7,0.9,Slow Moving,1.6829999999999998,1.9629999999999999,2.243,8.010714285714284,100.0,High Risk
1152,2221638766,2152.0,32.12,43.7,1.36,47,0.3,Fast Moving,72.105,104.225,136.345,4.24486301369863,100.0,Medium Risk
1152,2221664410,1183.0,17.66,27.95,1.58,24,0.64,Fast Moving,46.1175,63.7775,81.4375,4.611409966024915,100.0,Medium Risk
1152,2221690660,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221707005,1197.0,17.87,26.98,1.51,22,0.67,Slow Moving,44.516999999999996,62.387,80.257,4.491158365976497,100.0,Medium Risk
1152,2221717468,30.0,0.45,0.74,1.65,22,0.67,Slow Moving,1.2209999999999999,1.6709999999999998,2.121,4.713333333333333,100.0,Medium Risk
1152,2221717476,320.0,4.78,3.15,0.66,65,0.03,Fast Moving,5.1975,9.9775,14.7575,3.0873430962343096,100.0,Low Risk
1152,2221717613,17.0,0.25,0.63,2.49,12,0.82,Slow Moving,1.0394999999999999,1.2894999999999999,1.5394999999999999,6.1579999999999995,100.0,High Risk
1152,2221717615,395.0,5.9,4.79,0.81,60,0.1,Fast Moving,7.903499999999999,13.8035,19.7035,3.33957627118644,100.0,Low Risk
1152,2221717748,211.0,3.15,3.4,1.08,54,0.19,Fast Moving,5.609999999999999,8.76,11.91,3.7809523809523813,100.0,Medium Risk
1152,2221717753,891.0,13.3,19.14,1.44,59,0.12,Fast Moving,31.581,44.881,58.181,4.374511278195488,100.0,Medium Risk
1152,2221733877,61.0,0.91,1.96,2.15,18,0.73,Slow Moving,3.234,4.144,5.054,5.553846153846154,100.0,High Risk
1152,2221735437,87.0,1.3,1.6,1.23,41,0.39,Fast Moving,2.64,3.9400000000000004,5.24,4.030769230769231,100.0,Medium Risk
1152,2221736273,141.0,2.1,3.12,1.48,35,0.48,Fast Moving,5.148,7.247999999999999,9.347999999999999,4.451428571428571,100.0,Medium Risk
1152,2221737112,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221739606,131.0,1.96,1.46,0.75,56,0.16,Fast Moving,2.409,4.369,6.329,3.2290816326530614,100.0,Low Risk
1152,2221743153,1.0,0.01,0.12,8.12,1,0.99,Intermittent,0.19799999999999998,0.208,0.218,21.8,100.0,High Risk
1152,2221743158,7.0,0.1,0.39,3.75,5,0.93,Intermittent,0.6435,0.7434999999999999,0.8434999999999999,8.434999999999999,100.0,High Risk
1152,2221743197,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221746213,1359.0,20.28,16.76,0.83,65,0.03,Fast Moving,27.654,47.934,68.214,3.363609467455621,100.0,Low Risk
1152,2221751094,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221752732,453.0,6.76,7.7,1.14,62,0.07,Fast Moving,12.705,19.465,26.225,3.8794378698224854,100.0,Medium Risk
1152,2221757071,1131.0,16.88,23.47,1.39,38,0.43,Fast Moving,38.7255,55.60549999999999,72.48549999999999,4.294164691943127,100.0,Medium Risk
1152,2221757088,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221759655,321.0,4.79,4.84,1.01,56,0.16,Fast Moving,7.986,12.776,17.566,3.6672233820459286,100.0,Medium Risk
1152,2221760081,33.0,0.49,1.15,2.34,20,0.7,Slow Moving,1.8974999999999997,2.3874999999999997,2.8774999999999995,5.8724489795918355,100.0,High Risk
1152,2221760502,45.0,0.67,1.03,1.53,30,0.55,Fast Moving,1.6995,2.3695,3.0395,4.536567164179104,100.0,Medium Risk
1152,2221786765,313.0,4.67,5.09,1.09,56,0.16,Fast Moving,8.398499999999999,13.068499999999998,17.7385,3.798394004282655,100.0,Medium Risk
1152,2221791547,1425.0,21.27,33.41,1.57,33,0.51,Fast Moving,55.12649999999999,76.39649999999999,97.66649999999998,4.591748942172073,100.0,Medium Risk
1152,2221791550,3761.0,56.13,70.22,1.25,45,0.33,Fast Moving,115.86299999999999,171.993,228.123,4.064190272581507,100.0,Medium Risk
1152,2221795852,331.0,4.94,4.19,0.85,62,0.07,Fast Moving,6.9135,11.8535,16.7935,3.3994939271255062,100.0,Low Risk
1152,2221796164,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221796165,80.0,1.19,3.24,2.72,8,0.88,Slow Moving,5.346,6.536,7.725999999999999,6.492436974789915,100.0,High Risk
1152,2221797971,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221817173,3919.0,58.49,41.05,0.7,67,0.0,Fast Moving,67.73249999999999,126.2225,184.7125,3.1580184646948197,100.0,Low Risk
1152,2221820929,810.0,12.09,11.51,0.95,66,0.01,Fast Moving,18.9915,31.0815,43.171499999999995,3.5708436724565753,100.0,Low Risk
1152,2221835513,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221838056,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221838057,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221841531,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221843299,752.0,11.22,8.58,0.76,66,0.01,Fast Moving,14.157,25.377000000000002,36.597,3.261764705882353,100.0,Low Risk
1152,2221844622,4.0,0.06,0.38,6.39,2,0.97,Intermittent,0.627,0.687,0.7470000000000001,12.450000000000003,100.0,High Risk
1152,2221849613,5300.0,79.1,129.05,1.63,44,0.34,Fast Moving,212.9325,292.0325,371.13250000000005,4.691940581542353,100.0,Medium Risk
1152,2221849618,1120.0,16.72,16.7,1.0,46,0.31,Fast Moving,27.554999999999996,44.27499999999999,60.99499999999999,3.6480263157894735,100.0,Low Risk
1152,2221849774,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221849775,5.0,0.07,0.61,8.12,1,0.99,Intermittent,1.0065,1.0765,1.1465,16.378571428571426,100.0,High Risk
1152,2221849781,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221849788,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221849789,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221849795,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221851004,37.0,0.55,1.21,2.2,19,0.72,Slow Moving,1.9965,2.5465,3.0965,5.629999999999999,100.0,High Risk
1152,2221851257,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221857348,52.0,0.78,1.06,1.37,32,0.52,Fast Moving,1.7489999999999999,2.529,3.309,4.242307692307692,100.0,Medium Risk
1152,2221857406,5050.0,75.37,72.98,0.97,46,0.31,Fast Moving,120.417,195.787,271.15700000000004,3.5976781212684097,100.0,Low Risk
