Warehouse,Part_No,Date,Demand,Material_Description
1110,MF445086,2023-12,1530.0,
1110,MF472127,2023-12,2040.0,
1110,ID364170,2023-12,717.0,
1110,ID370657,2023-12,3284.0,
1110,ID377754,2023-12,3012.0,
1110,ID378974,2023-12,2200.0,
1110,IA202651,2024-01,1547.0,
1110,IA203086,2024-01,1200.0,
1110,IA203416,2024-01,2023.0,
1110,IA215142,2024-01,1009.0,
1110,IA215577,2024-01,2061.0,
1110,IA215578,2024-01,1784.0,
1110,IA301086,2024-01,1871.0,
1110,IA328687,2024-01,1880.0,
1110,IA329978,2024-01,1650.0,
1110,IB002922,2024-01,4730.0,
1110,IB999850,2024-01,1682.0,
1110,ID201024,2024-01,2420.0,
1110,ID206974,2024-01,417.0,
1110,ID301958,2024-01,5250.0,
1110,ID304913,2024-01,1730.0,
1110,ID309786,2024-01,2784.0,
1110,ID332218,2024-01,1361.0,
1110,ID332219,2024-01,1019.0,
1110,ID334315,2024-01,2434.0,
1110,IE314595,2024-01,900.0,
1110,IF000466,2024-01,1786.0,
1110,IM300205,2024-01,4820.0,
1110,MB344408,2024-01,920.0,
1110,ME074696,2024-01,2216.0,
1110,MF434103,2024-01,2543.0,
1110,MF434104,2024-01,1710.0,
1110,MF434105,2024-01,1740.0,
1110,MF445086,2024-01,1000.0,
1110,MF472127,2024-01,1397.0,
1110,ID364170,2024-01,503.0,
1110,ID370657,2024-01,2543.0,
1110,ID377754,2024-01,2652.0,
1110,ID378974,2024-01,2054.0,
1110,IA202651,2024-02,1657.0,
1110,IA203086,2024-02,1440.0,
1110,IA203416,2024-02,2505.0,
1110,IA215142,2024-02,1197.0,
1110,IA215577,2024-02,2473.0,
1110,IA215578,2024-02,2606.0,
1110,IA301086,2024-02,1942.0,
1110,IA328687,2024-02,2900.0,
1110,IA329978,2024-02,1890.0,
1110,IB002922,2024-02,5744.0,
1110,IB999850,2024-02,1561.0,
1110,ID201024,2024-02,3878.0,
1110,ID206974,2024-02,2170.0,
1110,ID301958,2024-02,6533.0,
1110,ID304913,2024-02,1140.0,
1110,ID309786,2024-02,2768.0,
1110,ID332218,2024-02,1788.0,
1110,ID332219,2024-02,1229.0,
1110,ID334315,2024-02,2520.0,
1110,IE314595,2024-02,1080.0,
1110,IF000466,2024-02,2301.0,
1110,IM300205,2024-02,6590.0,
1110,MB344408,2024-02,1100.0,
1110,ME074696,2024-02,3428.0,
1110,MF434103,2024-02,2068.0,
1110,MF434104,2024-02,2100.0,
1110,MF434105,2024-02,2130.0,
1110,MF445086,2024-02,1350.0,
1110,MF472127,2024-02,1710.0,
1110,ID364170,2024-02,1530.0,
1110,ID370657,2024-02,2175.0,
1110,ID377754,2024-02,1884.0,
1110,ID378974,2024-02,2107.0,
1110,IA202651,2024-03,1418.0,
1110,IA203086,2024-03,1450.0,
1110,IA203416,2024-03,2286.0,
1110,IA215142,2024-03,2090.0,
1110,IA215577,2024-03,2883.0,
1110,IA215578,2024-03,2361.0,
1110,IA301086,2024-03,3059.0,
1110,IA328687,2024-03,2120.0,
1110,IA329978,2024-03,1710.0,
1110,IB002922,2024-03,9889.0,
1110,IB999850,2024-03,2293.0,
1110,ID201024,2024-03,4954.0,
1110,ID206974,2024-03,758.0,
1110,ID301958,2024-03,5833.0,
