Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class
1152,IA203518,90.0,1.34,2.94,2.19,14,0.79,Slow Moving
1152,IA203551,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA203555,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA203559,104.0,1.55,4.09,2.64,12,0.82,Slow Moving
1152,IA203649,954.0,14.24,50.22,3.53,33,0.51,Fast Moving
1152,IA203661,175.0,2.61,8.21,3.14,8,0.88,Slow Moving
1152,IA203662,2020.0,30.15,38.23,1.27,49,0.27,Fast Moving
1152,IA203663,25.0,0.37,1.57,4.21,4,0.94,Intermittent
1152,IA203664,1035.0,15.45,14.88,0.96,62,0.07,Fast Moving
1152,IA203669,430.0,6.42,27.41,4.27,9,0.87,Slow Moving
1152,IA203691,29.0,0.43,0.67,1.56,23,0.66,Slow Moving
1152,IA203693,89.0,1.33,1.68,1.26,37,0.45,Fast Moving
1152,IA203710,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA203711,130.0,1.94,3.66,1.89,18,0.73,Slow Moving
1152,IA203716,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA203813,525.0,7.84,8.9,1.14,65,0.03,Fast Moving
1152,IA203828,10.0,0.15,1.21,8.12,1,0.99,Intermittent
1152,IA203829,3.0,0.04,0.27,6.02,2,0.97,Intermittent
1152,IA203840,7.0,0.1,0.63,5.99,3,0.96,Intermittent
1152,IA203844,56.0,0.84,2.52,3.01,11,0.84,Slow Moving
1152,IA203853,113.0,1.69,2.44,1.45,35,0.48,Fast Moving
1152,IA203854,65.0,0.97,1.65,1.7,26,0.61,Fast Moving
1152,IA203855,37.0,0.55,1.08,1.96,19,0.72,Slow Moving
1152,IA203882,189.0,2.82,3.11,1.1,50,0.25,Fast Moving
1152,IA203883,139.0,2.07,2.88,1.39,33,0.51,Fast Moving
1152,IA203909,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA203928,20.0,0.3,0.99,3.33,9,0.87,Slow Moving
1152,IA203964,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204021,8.0,0.12,0.68,5.7,2,0.97,Intermittent
1152,IA204046,412.0,6.15,10.9,1.77,59,0.12,Fast Moving
1152,IA204047,380.0,5.67,10.44,1.84,59,0.12,Fast Moving
1152,IA204084,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204095,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA204102,35.0,0.52,1.38,2.63,13,0.81,Slow Moving
1152,IA204103,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204104,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204134,118.0,1.76,2.96,1.68,30,0.55,Fast Moving
1152,IA204135,14.0,0.21,0.78,3.75,5,0.93,Intermittent
1152,IA204164,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204165,5.0,0.07,0.36,4.81,3,0.96,Intermittent
1152,IA204213,995.0,14.85,29.15,1.96,65,0.03,Fast Moving
1152,IA204226,12.0,0.18,0.73,4.08,5,0.93,Intermittent
1152,IA204255,4.0,0.06,0.38,6.39,2,0.97,Intermittent
1152,IA204305,39.0,0.58,2.82,4.84,4,0.94,Intermittent
1152,IA204306,820.0,12.24,10.65,0.87,61,0.09,Fast Moving
1152,IA204417,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204418,3.0,0.04,0.36,8.12,1,0.99,Intermittent
1152,IA204463,45.0,0.67,1.77,2.64,16,0.76,Slow Moving
1152,IA204465,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA204546,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204562,27.0,0.4,0.77,1.92,18,0.73,Slow Moving
1152,IA204563,4.0,0.06,0.24,3.97,4,0.94,Intermittent
1152,IA204573,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204578,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204589PR,48.0,0.72,0.91,1.27,32,0.52,Fast Moving
1152,IA204590PR,32.0,0.48,0.72,1.51,25,0.63,Fast Moving
1152,IA204603,40.0,0.6,0.96,1.61,23,0.66,Slow Moving
1152,IA204604,29.0,0.43,0.81,1.88,19,0.72,Slow Moving
1152,IA204607,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204614,5.0,0.07,0.26,3.52,5,0.93,Intermittent
1152,IA204616,15.0,0.22,0.64,2.87,10,0.85,Slow Moving
1152,IA204617,8.0,0.12,0.32,2.72,8,0.88,Slow Moving
1152,IA204622,8.0,0.12,0.44,3.7,6,0.91,Slow Moving
1152,IA204623PR,7.0,0.1,0.31,2.93,7,0.9,Slow Moving
1152,IA204624,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204627,10.0,0.15,0.36,2.39,10,0.85,Slow Moving
1152,IA204633,5.0,0.07,0.4,5.34,3,0.96,Intermittent
1152,IA204634,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA204638,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA204642,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204691,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA204692,4.0,0.06,0.38,6.39,2,0.97,Intermittent
1152,IA204695,23.0,0.34,0.68,1.98,16,0.76,Slow Moving
1152,IA204696,21.0,0.31,0.65,2.08,15,0.78,Slow Moving
1152,IA204704,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
